Test;Time
org.quantumbadger.redreader.activities.testcase1_000;8307
org.quantumbadger.redreader.activities.testcase1_001;2872
org.quantumbadger.redreader.activities.testcase1_002;3360
org.quantumbadger.redreader.activities.testcase1_003;14006
org.quantumbadger.redreader.activities.testcase1_004;6529
org.quantumbadger.redreader.activities.testcase1_005;3212
org.quantumbadger.redreader.activities.testcase1_006;5285
org.quantumbadger.redreader.activities.testcase1_007;8455
org.quantumbadger.redreader.activities.testcase1_008;3383
org.quantumbadger.redreader.activities.testcase1_009;2680
org.quantumbadger.redreader.activities.testcase1_010;3249
org.quantumbadger.redreader.activities.testcase1_011;2372
org.quantumbadger.redreader.activities.testcase1_012;3728
org.quantumbadger.redreader.activities.testcase1_013;392
org.quantumbadger.redreader.activities.testcase1_014;335
org.quantumbadger.redreader.activities.testcase1_015;342
org.quantumbadger.redreader.activities.testcase1_016;393
org.quantumbadger.redreader.activities.testcase1_017;4300
org.quantumbadger.redreader.activities.testcase1_018;9441
org.quantumbadger.redreader.activities.testcase1_019;5172
org.quantumbadger.redreader.activities.testcase1_020;7409
org.quantumbadger.redreader.activities.testcase1_021;7309
org.quantumbadger.redreader.activities.testcase1_022;4525
org.quantumbadger.redreader.activities.testcase1_023;2348
org.quantumbadger.redreader.activities.testcase1_024;3797
org.quantumbadger.redreader.activities.testcase1_025;2311
org.quantumbadger.redreader.activities.testcase1_026;4837
org.quantumbadger.redreader.activities.testcase1_027;4006
org.quantumbadger.redreader.activities.testcase1_028;2689
org.quantumbadger.redreader.activities.testcase1_029;2229
org.quantumbadger.redreader.activities.testcase2_000;15169
org.quantumbadger.redreader.activities.testcase2_001;2009
org.quantumbadger.redreader.activities.testcase2_002;3272
org.quantumbadger.redreader.activities.testcase2_003;6688
org.quantumbadger.redreader.activities.testcase2_004;5707
org.quantumbadger.redreader.activities.testcase2_005;3373
org.quantumbadger.redreader.activities.testcase2_006;5719
org.quantumbadger.redreader.activities.testcase2_007;3516
org.quantumbadger.redreader.activities.testcase2_008;3985
org.quantumbadger.redreader.activities.testcase2_009;2353
org.quantumbadger.redreader.activities.testcase2_010;6220
org.quantumbadger.redreader.activities.testcase2_011;2635
org.quantumbadger.redreader.activities.testcase2_012;3273
org.quantumbadger.redreader.activities.testcase2_013;2538
org.quantumbadger.redreader.activities.testcase2_014;3207
org.quantumbadger.redreader.activities.testcase2_015;3365
org.quantumbadger.redreader.activities.testcase2_016;1953
org.quantumbadger.redreader.activities.testcase2_017;330
org.quantumbadger.redreader.activities.testcase2_018;5543
org.quantumbadger.redreader.activities.testcase2_019;3702
org.quantumbadger.redreader.activities.testcase2_020;2327
org.quantumbadger.redreader.activities.testcase2_021;3849
org.quantumbadger.redreader.activities.testcase2_022;1859
org.quantumbadger.redreader.activities.testcase2_023;3340
org.quantumbadger.redreader.activities.testcase2_024;4239
org.quantumbadger.redreader.activities.testcase2_025;4448
org.quantumbadger.redreader.activities.testcase2_026;1106
org.quantumbadger.redreader.activities.testcase2_027;10052
org.quantumbadger.redreader.activities.testcase2_028;377
org.quantumbadger.redreader.activities.testcase2_029;335
org.quantumbadger.redreader.activities.testcase3_000;2101
org.quantumbadger.redreader.activities.testcase3_001;5962
org.quantumbadger.redreader.activities.testcase3_002;3987
org.quantumbadger.redreader.activities.testcase3_003;3639
org.quantumbadger.redreader.activities.testcase3_004;5646
org.quantumbadger.redreader.activities.testcase3_005;2644
org.quantumbadger.redreader.activities.testcase3_006;3863
org.quantumbadger.redreader.activities.testcase3_007;2547
org.quantumbadger.redreader.activities.testcase3_008;2951
org.quantumbadger.redreader.activities.testcase3_009;4077
org.quantumbadger.redreader.activities.testcase3_010;10105
org.quantumbadger.redreader.activities.testcase3_011;4280
org.quantumbadger.redreader.activities.testcase3_012;3494
org.quantumbadger.redreader.activities.testcase3_013;1773
org.quantumbadger.redreader.activities.testcase3_014;3487
org.quantumbadger.redreader.activities.testcase3_015;4925
org.quantumbadger.redreader.activities.testcase3_016;3273
org.quantumbadger.redreader.activities.testcase3_017;9283
org.quantumbadger.redreader.activities.testcase3_018;1718
org.quantumbadger.redreader.activities.testcase3_019;3814
org.quantumbadger.redreader.activities.testcase3_020;5150
org.quantumbadger.redreader.activities.testcase3_021;2446
org.quantumbadger.redreader.activities.testcase3_022;6076
org.quantumbadger.redreader.activities.testcase3_023;5280
org.quantumbadger.redreader.activities.testcase3_024;8931
org.quantumbadger.redreader.activities.testcase3_025;6546
org.quantumbadger.redreader.activities.testcase3_026;2342
org.quantumbadger.redreader.activities.testcase3_027;1098
org.quantumbadger.redreader.activities.testcase3_028;6785
org.quantumbadger.redreader.activities.testcase3_029;2109
org.quantumbadger.redreader.activities.testcase4_000;2036
org.quantumbadger.redreader.activities.testcase4_001;2055
org.quantumbadger.redreader.activities.testcase4_002;5560
org.quantumbadger.redreader.activities.testcase4_003;3264
org.quantumbadger.redreader.activities.testcase4_004;2240
org.quantumbadger.redreader.activities.testcase4_005;2938
org.quantumbadger.redreader.activities.testcase4_006;3206
org.quantumbadger.redreader.activities.testcase4_007;3625
org.quantumbadger.redreader.activities.testcase4_008;6313
org.quantumbadger.redreader.activities.testcase4_009;3995
org.quantumbadger.redreader.activities.testcase4_010;4377
org.quantumbadger.redreader.activities.testcase4_011;6214
org.quantumbadger.redreader.activities.testcase4_012;4028
org.quantumbadger.redreader.activities.testcase4_013;6020
org.quantumbadger.redreader.activities.testcase4_014;4106
org.quantumbadger.redreader.activities.testcase4_015;1548
org.quantumbadger.redreader.activities.testcase4_016;2425
org.quantumbadger.redreader.activities.testcase4_017;2864
org.quantumbadger.redreader.activities.testcase4_018;2945
org.quantumbadger.redreader.activities.testcase4_019;2900
org.quantumbadger.redreader.activities.testcase4_020;2519
org.quantumbadger.redreader.activities.testcase4_021;2594
org.quantumbadger.redreader.activities.testcase4_022;8628
org.quantumbadger.redreader.activities.testcase4_023;6116
org.quantumbadger.redreader.activities.testcase4_024;4178
org.quantumbadger.redreader.activities.testcase4_025;4134
org.quantumbadger.redreader.activities.testcase4_026;7950
org.quantumbadger.redreader.activities.testcase4_027;3831
org.quantumbadger.redreader.activities.testcase4_028;5695
org.quantumbadger.redreader.activities.testcase4_029;3056
org.quantumbadger.redreader.activities.testcase5_000;4017
org.quantumbadger.redreader.activities.testcase5_001;7588
org.quantumbadger.redreader.activities.testcase5_002;3073
org.quantumbadger.redreader.activities.testcase5_003;5752
org.quantumbadger.redreader.activities.testcase5_004;7609
org.quantumbadger.redreader.activities.testcase5_005;3319
org.quantumbadger.redreader.activities.testcase5_006;3816
org.quantumbadger.redreader.activities.testcase5_007;2230
org.quantumbadger.redreader.activities.testcase5_008;14306
org.quantumbadger.redreader.activities.testcase5_009;4131
org.quantumbadger.redreader.activities.testcase5_010;2221
org.quantumbadger.redreader.activities.testcase5_011;2534
org.quantumbadger.redreader.activities.testcase5_012;2616
org.quantumbadger.redreader.activities.testcase5_013;2890
org.quantumbadger.redreader.activities.testcase5_014;2884
org.quantumbadger.redreader.activities.testcase5_015;2240
org.quantumbadger.redreader.activities.testcase5_016;1670
org.quantumbadger.redreader.activities.testcase5_017;5430
org.quantumbadger.redreader.activities.testcase5_018;1847
org.quantumbadger.redreader.activities.testcase5_019;6113
